model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,config_idx,hidden_layers,dropout_rate,l2_reg,epochs_trained
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.1,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.25000000000000006,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.1,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5681818181818182,0.5428571428571428,0.8636363636363636,0.6666666666666666,6,16,3,19,0.45000000000000007,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.15000000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.20000000000000004,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.6590909090909091,0.6521739130434783,0.6818181818181818,0.6666666666666666,14,8,7,15,0.5000000000000001,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.20000000000000004,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,0.9545454545454546,0.65625,1,21,1,21,0.40000000000000013,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.5,0.5,0.9545454545454546,0.65625,1,21,1,21,0.3500000000000001,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5227272727272727,0.5128205128205128,0.9090909090909091,0.6557377049180327,3,19,2,20,0.40000000000000013,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5454545454545454,0.5277777777777778,0.8636363636363636,0.6551724137931034,5,17,3,19,0.45000000000000007,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.7045454545454546,0.8,0.5454545454545454,0.6486486486486487,19,3,10,12,0.5500000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.20000000000000004,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.30000000000000004,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.20000000000000004,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.1,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.3500000000000001,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.25000000000000006,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.15000000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.25000000000000006,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.30000000000000004,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.4883720930232558,0.9545454545454546,0.6461538461538462,0,22,1,21,0.3500000000000001,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.6136363636363636,0.6923076923076923,0.4090909090909091,0.5142857142857142,18,4,13,9,0.6000000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.6136363636363636,0.6923076923076923,0.4090909090909091,0.5142857142857142,18,4,13,9,0.7000000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.6136363636363636,0.6923076923076923,0.4090909090909091,0.5142857142857142,18,4,13,9,0.6500000000000001,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.6363636363636364,0.8,0.36363636363636365,0.5,20,2,14,8,0.6000000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5681818181818182,0.6,0.4090909090909091,0.4864864864864865,16,6,13,9,0.5000000000000001,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.6136363636363636,0.7272727272727273,0.36363636363636365,0.48484848484848486,19,3,14,8,0.6000000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5909090909090909,0.6666666666666666,0.36363636363636365,0.47058823529411764,18,4,14,8,0.5500000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.6363636363636364,0.875,0.3181818181818182,0.4666666666666667,21,1,15,7,0.5500000000000002,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.5909090909090909,0.7,0.3181818181818182,0.4375,19,3,15,7,0.6500000000000001,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5909090909090909,0.7,0.3181818181818182,0.4375,19,3,15,7,0.7500000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.5909090909090909,0.7,0.3181818181818182,0.4375,19,3,15,7,0.7000000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5454545454545454,0.5833333333333334,0.3181818181818182,0.4117647058823529,17,5,15,7,0.6000000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5909090909090909,0.75,0.2727272727272727,0.4,20,2,16,6,0.7500000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5909090909090909,0.75,0.2727272727272727,0.4,20,2,16,6,0.5000000000000001,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5,0.5,0.13636363636363635,0.21428571428571427,19,3,19,3,0.8000000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.4772727272727273,0.42857142857142855,0.13636363636363635,0.20689655172413793,18,4,19,3,0.6500000000000001,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,0.09090909090909091,0.15384615384615385,20,2,20,2,0.6500000000000001,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.4,0.09090909090909091,0.14814814814814814,19,3,20,2,0.8500000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.4772727272727273,0.4,0.09090909090909091,0.14814814814814814,19,3,20,2,0.6000000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.5,0.5,0.045454545454545456,0.08333333333333333,21,1,21,1,0.5500000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5,0.5,0.045454545454545456,0.08333333333333333,21,1,21,1,0.6000000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5,0.5,0.045454545454545456,0.08333333333333333,21,1,21,1,0.6500000000000001,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.4772727272727273,0.3333333333333333,0.045454545454545456,0.08,20,2,21,1,0.8000000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.7500000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.8500000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.7000000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.9000000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.8000000000000002,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.8000000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.8500000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.7500000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.8000000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.8500000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.9000000000000002,4,"[64, 32]",0.4,0.001,12
